ID,URL
1,https://www.thegamer.com/fortnite-chapter-5-season-3-wrecked-updated-nuka-cola-nintro-vehicle-mods-return-war-bus-fallout-crossbolt/
2,https://www.thegamer.com/destiny-2-zero-hour-floor-puzzle-all-solutions/
3,https://www.thegamer.com/multiversus-season-1-relaunch-preview/
